編號,成分名稱,CAS_Number,備註
113,Benzene,71-43-2,
114,Beryllium and its compounds,7440-41-7,
115,"Oxybis[chloromethane], bis (Chloromethyl) ether",542-88-1,
116,α-Bromobenzyl cyanide,5798-79-8,
117,"1,3-Butadiene",106-99-0,
118,Captafol,2425-06-1,
119,"N-(Trichloromethylthio)-4-cyclohexene-1,2-dicarboximide(Captan(ISO))",133-06-2,
12,Hydroxy-8-quinoline and its sulfate,148-24-3/134-31-6,使用於染髮、燙髮產品中，用作Hydrogen peroxide 之安定劑不得超過0.03%(以base計)。
120,"Chlordane, pur",57-74-9,
121,Chlorine,7782-50-5,
122,α-Chloroacetophenone (w-Chloroacetophenone ),532-27-4,
123,Chlorobenzilate,510-15-6,
124,Chloromethyl methyl ether,107-30-2,
125,p-Chloro-o-toluidine,95-69-2,
126,Cyanazine,21725-46-2,
127,Sodium cyanide/Potassium cyanide/Silver cyanide/Copper(I) cyanide/Copper(I) potassium cyanide/Cadmium cyanide/Zinc cyanide/Copper(II) cyanide/Copper Sodium cyanide,143-33-9/151-50-8/506-64-9/544-92-3/13682-73-0/542-83-6/557-21-1/14763-77-0/14264-31-4,
128,Cyhexatin,13121-70-5,
129,"1,2-Dibromo-3-chloropropane",96-12-8,
13,Dichloromethane,75-09-2,
130,"3,3’-Dichlorobenzidine",91-94-1,
131,Clofenotane (INN); DDT (ISO),50-29-3,
132,Dieldrin,60-57-1,
133,Dimethylcarbamoyl chloride,79-44-7,
395,Drosera peltata Sm. var. Multisepala Y. Z. Ruan (茅膏菜),,
396,Skimmia reevesiana Fortune (茵芋),,
397,Typhonium giganteum Engl. (白附子),,
398,Sapium sebiferum (L.) Roxb. (烏桕),,
399,"Colchicin, its salts and derivatives",64-86-8,
400,"Hyoscyamine, its salts and derivatives",101-31-5,
401,"Hyoscine, its salts and derivatives",51-34-3,
402,Deanol aceglumate (INN),3342-61-8,
403,Spironolactone (INN),52-01-7,
404,"[4-(4-Hydroxy-3-iodophenoxy)-3,5-diiodophenyl]acetic acid (Tiratricol (INN)) and its salts",51-24-1,
134,"Dimethylformamide (N,N-Dimethylformamide)",68-12-2,
405,Methotrexate (INN),59-05-2,
406,"Cinchophen (INN), its salts, derivatives and salts of these derivatives",132-60-5/5949-18-8,
407,Thyropropic acid (INN) and its salts,51-26-3,
408,Epinephrine (INN),51-43-4,
409,Isoprenaline (INN),7683-59-2,
410,Alloclamide (INN) and its salts,5486-77-1,
411,"Nalorphine (INN), its salts and ethers",62-67-9,
412,Betoxycaine (INN) and its salts,3818-62-0,
413,Zoxazolamine (INN),61-80-3,
414,"Procainamide (INN), its salts and derivatives",51-06-9,
135,Dimethyl sulfate,77-78-1,
415,"Tuaminoheptane (INN), its isomers and salts",123-82-0,
416,Octodrine (INN) and its salts,543-82-8,
417,Isocarboxazid (INN),59-63-2,
418,Bendroflumethiazide (INN) and its derivatives,73-48-3,
419,Bretylium tosilate (INN),61-75-6,
420,Carbromal (INN),77-65-6,
421,Bromisoval (INN),496-67-3,
422,Brompheniramine (INN) and its salts,86-22-6,
423,Benzilonium bromide (INN),1050-48-2,
424,Tetrylammonium bromide (INN),71-91-0,
136,"4,6-Dinitro-o-cresol (DNOC(ISO))",534-52-1,
425,Tetracaine (INN) and its salts,94-24-6,
426,Mofebutazone (INN),2210-63-1,
427,Tolbutamide (INN),64-77-7,
428,Carbutamide (INN),339-43-5,
429,Phenylbutazone (INN),50-33-9,
430,Phenprobamate (INN),673-31-4,
431,Chlorpropamide (INN),94-20-2,
432,Chlorzoxazone (INN),95-25-0,
433,Chlorprothixene (INN) and its salts,113-59-7,
434,Clofenamide (INN),671-95-4,
137,Dinitrophenol isomers,51-28-5/329-71-5/573-56-8/25550-58-7,
435,Mannomustine (INN) and its salts,576-68-1,
436,Butanilicaine (INN) and its salts,3785-21-5,
437,Chlormezanone (INN),80-77-3,
438,Triparanol (INN),78-41-1,
439,Chlorphenoxamine (INN),77-38-3,
440,Phenaglycodol (INN),79-93-6,
441,Glycyclamide (INN),664-95-9,
442,"Feclemine (INN); 2-(alpha-Cyclohexylbenzyl)-N,N,N',N'-tetraethyl-1,3-propanediamine",3590-16-7,
443,Cyclomenol (INN) and its salts,5591-47-9,
444,Sodium hexacyclonate (INN),7009-49-6,
138,"Dinoseb, its salts and esters",88-85-7,
445,Hexapropymate (INN),358-52-1,
446,Pipazetate (INN) and its salts,2167-85-3,
447,"N,N'-Pentamethylenebis(trimethylammonium) salts, e. g. pentamethonium bromide (INN)",541-20-8,
448,"N,N'-[(Methylimino)diethylene]bis(ethyldimethylammonium) salts, e. g. azamethonium bromide (INN)",306-53-6,
449,Cyclarbamate (INN),5779-54-4,
450,"N,N'-Hexamethylenebis(trimethylammonium) salts, e. g. hexamethonium bromide (INN)",55-97-0,
451,Lysergide (INN) (LSD) and its salts,50-37-3,
452,Cinchocaine (INN) and its salts,85-79-0,
453,3-Diethylaminopropyl cinnamate,538-66-9,
454,"[Oxalylbis(iminoethylene)]bis[(o-chlorobenzyl)diethylammonium] salts, e. g. ambenonium chloride (INN)",115-79-7,
139,"1,2-Diphenylhydrazine",122-66-7,
455,Methyprylon (INN) and its salts,125-64-4,
456,Dioxethedrin (INN) and its salts,497-75-6,
457,Piprocurarium iodide (INN),3562-55-8,
458,Propyphenazone (INN),479-92-5,
459,Tetrabenazine (INN) and its salts,58-46-8,
460,Captodiame (INN),486-17-9,
461,Mefeclorazine (INN) and its salts,1243-33-0,
462,Methapyrilene (INN) and its salts,91-80-5,
463,Metamfepramone (INN) and its salts,15351-09-4,
464,Amitriptyline (INN) and its salts,50-48-6,
14,"4-tert-Butyl-3-methoxy-2,6-dinitrotoluene (Musk ambrette)",83-66-9,
140,"(1R,4S,5R,8S)-1,2,3,4,10,10-Hexachloro-6,7-epoxy1,4,4a,5,6,7,8,8a-octahydro-1,4:5,8-dimethano-naphthalene (endrin(ISO))",72-20-8,
465,Metformin (INN) and its salts,657-24-9,
466,Isosorbide dinitrate (INN),87-33-2,
467,Inproquone (INN),436-40-8,
468,Dimevamide (INN) and its salts,60-46-8,
469,Diphenylpyraline (INN) and its salts,147-20-6,
470,Sulfinpyrazone (INN),57-96-5,
471,"N-(3-Carbamoyl-3,3-diphenylpropyl)-N,N-diisopropylmethyl-ammonium salts, e. g. isopropamide iodide (INN)",71-81-8,
472,Benactyzine (INN),302-40-9,
473,Benzatropine (INN) and its salts,86-13-5,
474,Cyclizine (INN) and its salts,82-92-8,
141,"1-Chloro-2,3-epoxypropane (Epichlorohydrin)",106-89-8,
475,"5,5-Diphenyl-4-imidazolidone (Doxenitoin (INN))",3254-93-1,
476,Probenecid (INN),57-66-9,
477,Disulfiram (INN); thiram (INN),97-77-8/137-26-8,
478,Oxanamide (INN) and its derivatives,126-93-2,
479,"Choline salts and their esters, e. g. choline chloride (INN)",67-48-1,
480,Caramiphen (INN) and its salts,77-22-5,
481,Metethoheptazine (INN) and its salts,509-84-2,
482,Oxpheneridine (INN) and its salts,546-32-7,
483,Ethoheptazine (INN) and its salts,77-15-6,
484,Metheptazine (INN) and its salts,469-78-3,
142,"1,2-Dibromoethane",106-93-4,
485,Methylphenidate (INN) and its salts,113-45-1,
486,Doxylamine (INN) and its salts,469-21-6,
487,Tolboxane (INN),2430-46-8,
488,Parethoxycaine (INN) and its salts,94-23-5,
489,Fenozolone (INN),15302-16-6,
490,Glutethimide (INN) and its salts,77-21-4,
491,Bemegride (INN) and its salts,64-65-3,
492,Valnoctamide (INN),4171-13-5,
493,Haloperidol (INN),52-86-8,
494,Paramethasone (INN),53-33-8,
143,Aziridine,151-56-4,
495,Fluanisone (INN),1480-19-9,
496,Trifluperidol (INN),749-13-3,
497,Fluoresone (INN),2924-67-6,
498,Fluorouracil (INN),51-21-8,
499,"Furfuryltrimethylammonium salts, e. g. furtrethonium iodide (INN)",541-64-0,
500,Galantamine (INN),357-70-0,
501,Hydrazides and their salts e.g. Isoniazid (INN),54-85-3,
502,Octamoxin (INN) and its salts,4684-87-1,
503,Warfarin (INN) and its salts,81-81-2,
504,Methocarbamol (INN),532-03-6,
144,2-Methoxyethanol and its acetate (2-Methoxyethyl acetate),109-86-4/110-49-6,
505,Propatylnitrate (INN),2921-92-8,
506,Fenadiazole (INN),1008-65-7,
507,Nitroxoline (INN) and its salts,4008-48-4,
508,Pemoline (INN) and its salts,2152-34-3,
509,"Decamethylenebis(trimethylammonium) salts, e. g. decamethonium bromide (INN)",541-22-0,
510,Lobeline (INN) and its salts,90-69-7,
511,Coumetarol (INN),4366-18-1,
512,Dextromethorphan (INN) and its salts,125-71-3,
513,Isometheptene (INN) and its salts,503-01-5,
514,Mecamylamine (INN),60-40-2,
145,Ethylene oxide,75-21-8,
515,Guaifenesin (INN),93-14-1,
516,Dicoumarol (INN),66-76-2,
517,"Phenmetrazine (INN), its derivatives and salts",134-49-6,
518,Thiamazole (INN),60-56-0,
519,Carisoprodol (INN),78-44-4,
520,Meprobamate (INN),57-53-4,
521,Tefazoline (INN) and its salts,1082-56-0,
522,Poldine metilsulfate (INN),545-80-2,
523,Hydroxyzine (INN),68-88-2,
524,Naphazoline (INN) and its salts,835-31-4,
146,Diethyl sulfate,64-67-5,
525,Neostigmine and its salts e. g. neostigmine bromide (INN),114-80-7,
526,Furazolidone (INN),67-45-8,
527,Acenocoumarol (INN),152-72-7,
528,Noscapine (INN) and its salts,128-62-1,
529,Guanethidine (INN) and its salts,55-65-2,
530,Chlortalidone (INN),77-36-1,
531,Pentaerithrityl tetranitrate (INN),78-11-5,
532,Petrichloral (INN),78-12-6,
533,Octamylamine (INN) and its salts,502-59-0,
534,Phenacemide (INN),63-98-9,
147,N-(Trichloromethylthio)phthalimide (Folpet(ISO)),133-07-3,
535,Difencloxazine (INN),5617-26-5,
536,"2-Phenylindan-1,3-dione (phenindione (INN))",83-12-5,
537,Ethylphenacemide (pheneturide (INN)),90-49-3,
538,Phenprocoumon (INN),435-97-2,
539,Fenyramidol (INN),553-69-5,
540,Psilocybine (INN),520-52-5,
541,Thalidomide (INN) and its salts,50-35-1,
542,"α-Piperidin-2-ylbenzyl acetate, laevorotatory threoform (levofacetoperane (INN)) and its salts",24558-01-8,
543,Pipradrol (INN) and its salts,467-60-7,
544,Azacyclonol (INN) and its salts,115-46-8,
148,Heptachlor,76-44-8,
545,Bietamiverine (INN),479-81-2,
546,Butopiprine (INN) and its salts,55837-15-5,
547,Metyrapone (INN),54-36-4,
548,Sparteine (INN) and its salts,90-39-1,
549,Sultiame (INN),61-56-3,
550,Xylometazoline (INN) and its salts,526-36-3,
551,Ethionamide (INN),536-33-4,
552,Phenothiazine (INN) and its compounds,92-84-2,
553,Mephenesin (INN) and its esters,59-47-2,
554,Tranylcypromine (INN) and its salts,155-09-9,
149,Hexachlorocyclohexane,319-84-6/319-85-7/319-86-86108-10-7,
555,Tretamine (INN),51-18-3,
556,Gallamine triethiodide (INN),65-29-2,
557,Ergocalciferol (INN) and cholecalciferol (vitamins D2 and D3),50-14-6/67-97-0,
558,Dimethyl sulfoxide (INN),67-68-5,
559,Diphenhydramine (INN) and its salts,58-73-1,
560,Dihydrotachysterol (INN),67-96-9,
561,Tripelennamine (INN),91-81-6,
562,Pyrithione sodium (INNM),3811-73-2,
563,"6-(Piperidinyl)-2,4-pyrimidinediamine 3-oxide (Minoxidil (INN)) and its salts",38304-91-5,
15,6-Methylcoumarin,92-48-8,口腔製劑另有規定者除外。
150,Hexamethylphosphoric triamide,680-31-9,
564,"3,4',5-Tribromosalicylanilide (Tribromsalan (INN))",87-10-5,
565,"Amyl 4-dimethylaminobenzoate, mixed isomers (Padimate A (INN))",14779-78-3,
566,Tetrahydrozoline (Tetryzoline (INN)) and its salts,84-22-0,
567,Lidocaine (INN),137-58-6,
568,Pramocaine (INN),140-65-8,
569,Phytonadione [INCI] / phytomenadione [INN],84-80-0/81818-54-4,
570,Thallium and its compounds,7440-28-0,
571,Neodymium and its salts,7440-00-8,
572,Tellurium and its compounds,13494-80-9,
151,Hydrogen cyanide and its salts,74-90-8,
573,"1-Methyl-2,4,5-trihydroxybenzene and its salts 不得使用於染髮用途化粧品",1124-09-0,
574,"2,6-Dihydroxy-4-methylpyridine and its salts 不得使用於染髮用途化粧品",4664-16-8,
575,"5-Hydroxy-1,4-benzodioxane and its salts 不得使用於染髮用途化粧品",10288-36-5,
576,"3,4-Methylenedioxyphenol and its salts不得使用於染髮用途化粧品",533-31-3,
577,"3,4-Methylenedioxyaniline and its salts 不得使用於染髮用途化粧品",14268-66-7,
578,Hydroxypyridinone and its salts 不得使用於染髮用途化粧品,822-89-9,
579,3-Nitro-4-aminophenoxyethanol and its salts 不得使用於染髮用途化粧品,50982-74-6,
580,2-Methoxy-4-nitrophenol (4-Nitroguaiacol) and its salts 不得使用於染髮用途化粧品,3251-56-7,
581,CI Acid Black 131 and its salts 不得使用於染髮用途化粧品,12219-01-1,
582,"1,3,5-Trihydroxybenzene (Phloroglucinol) and its salts 不得使用於染髮用途化粧品",108-73-6,
152,Leptophos,21609-90-5,
583,"1,2,4-Benzenetriacetate and its salts 不得使用於染髮用途化粧品",613-03-6,
584,"Ethanol, 2,2' -iminobis-, reaction products with epichlorohydrin and 2-nitro-1,4-benzenediamine (HC Blue No 5) and its salts 不得使用於染髮用途化粧品",68478-64-8/ 158571-58-5,
585,"N-Methyl-1,4-diaminoanthraquinone, reaction products with epichlorohydrin and monoethanolamine (HC Blue No 4) and its salts 不得使用於染髮用途化粧品",158571-57-4,
586,4-Aminobenzenesulfonic acid (Sulfanilic acid) and its salts 不得使用於染髮用途化粧品,121-57-3/515-74-2,
587,"3,3'-(Sulfonylbis(2-nitro-4,1-phenylene)imino) bis(6-(phenylamino))benzenesulfonic acid and its salts 不得使用於染髮用途化粧品",6373-79-1,
588,"3(or5)-((4-(Benzylmethylamino)phenyl)azo)-1,2-(or1,4)-dimethyl-1H-1,2,4-triazolium and its salts 不得使用於染髮用途化粧品",89959-98-8/12221-69-1,
589,"2,2'-((3-Chloro-4-((2,6-dichloro-4-nitrophenyl) azo)phenyl)imino)bisethanol (Disperse Brown 1) and its salts 不得使用於染髮用途化粧品",23355-64-8,
590,"Benzothiazolium, 2-[[4-[ethyl(2-hydroxyethyl)amino]phenyl]azo]-6-methoxy-3-methyl- and its salts 不得使用於染髮用途化粧品",12270-13-2,
591,2-[(4-Chloro-2-nitrophenyl)azo)-N-(2-methoxyphenyl)-3-oxobutanamide (Pigment Yellow 73) and its salts 不得使用於染髮用途化粧品,13515-40-7,
592,"2,2'-[(3,3'-dichloro[1,1'-biphenyl]-4,4'-diyl)bis(azo)]bis[3-oxo-N-phenylbutanamide] (Pigment Yellow 12) and its salts 不得使用於染髮用途化粧品",6358-85-6,
153,"1,2,3,4,5,6-Hexachlorocyclohexane (BHC(ISO))",58-89-9,
593,"2,2'-(1,2-Ethenediyl)bis[5-((4-ethoxyphenyl)azo]benzenesulfonic acid) and its salts 不得使用於染髮用途化粧品",2870-32-8,
594,"2,3-Dihydro-2,2-dimethyl-6-[(4-(phenylazo)-1-naphthelenyl)azo]-1H-pyrimidine (Solvent Black 3) and its salts 不得使用於染髮用途化粧品",4197-25-5,
595,3(or5)-[[4-[(7-amino-1-hydroxy-3-sulphonato-2-naphthyl)azo]-1-naphthyl]azo]salicylic acid and its salts不得使用於染髮用途化粧品,3442-21-5/34977-63-4,
596,"2-Naphthalenesulfonic acid, 7-(benzoylamino)-4-hydroxy-3-[[4-[(4-sulfophenyl)azo]phenyl]azo]- and its salts不得使用於染髮用途化粧品",2610-11-9,
597,"(μ-((7,7'-Iminobis(4-hydroxy-3-((2-hydroxy-5-(N-methylsulphamoyl)phenyl)azo)naphthalene-2-sulphonato))(6-)))dicuprate(2-) and its salts 不得使用於染髮用途化粧品",37279-54-2,
598,3-[(4-(Acetylamino)phenyl)azo]-4-hydroxy-7-[[[[5-hydroxy-6-(phenylazo)-7-sulfo-2-naphthalenyl]amino]carbonyl]amino]-2-naphthalenesulfonic acid and its salts不得使用於染髮用途化粧品,3441-14-3,
599,"2-Naphthalenesulfonic acid, 7,7'-(carbonyldiimino)bis(4-hydroxy-3-[[2-sulfo-4-[(4-sulfophenyl)azo]phenyl]azo]-, and its salts 不得使用於染髮用途化粧品",2610-10-8/25188-41-4,
600,"Ethanaminium, N-(4-[bis[4-(diethylamino)phenyl]methylene]-2,5-cyclohexadien-1-ylidine)-N-ethyl- and its salts 不得使用於染髮用途化粧品",2390-59-2,
601,"3H-Indolium, 2-[[(4-methoxyphenyl)methylhydrazono]methyl]-1,3,3-trimethyl- and its salts 不得使用於染髮用途化粧品",54060-92-3,
602,"3H-Indolium, 2-(2-((2,4-dimethoxyphenyl)amino)ethenyl]-1,3,3-trimethyl- and its salts 不得使用於染髮用途化粧品",4208-80-4,
154,"4,4'-Methylene-bis(2-chloroaniline)",101-14-4,
603,Nigrosine spirit soluble (Solvent Black 5) and its salts 不得使用於染髮用途化粧品,11099-03-9,
604,"Phenoxazin-5-ium, 3,7-bis(diethylamino)-, and its salts 不得使用於染髮用途化粧品",47367-75-9/33203-82-6,
605,"Benzo[a]phenoxazin -7-ium, 9-(dimethylamino)-, and its salts不得使用於染髮用途化粧品",7057-57-0/966-62-1,
606,"6-Amino-2-((2,4-dimethylphenyl)-1H-benz[de]isoquinoline-1,3(2H)-dione (Solvent Yellow 44) and its salts不得使用於染髮用途化粧品",2478-20-8,
607,1-Amino-4-[[4-[(dimethylamino)methyl]phenyl]amino]anthraquinone and its salts不得使用於染髮用途化粧品,67905-56-0/12217-43-5,
608,Laccaic acid (CI Natural Red 25) and its salts不得使用於染髮用途化粧品,60687-93-6,
609,"Benzenesulfonic acid, 5 -[(2,4-dinitrophenyl]amino]-2-(phenylamino)-, and its salts不得使用於染髮用途化粧品",6373-74-6/15347-52-1,
610,4-[(4-Nitrophenyl)azo]aniline (Disperse Orange 3) and its salts不得使用於染髮用途化粧品,730-40-5/70170-61-5,
611,4-Nitro-m-phenylenediamine and its salts不得使用於染髮用途化粧品,5131-58-8,
612,"1-Amino-4-(methylamino)-9,10-anthracenedione (Disperse Violet 4) and its salt 不得使用於染髮用途化粧品",1220-94-6,
155,Methyl hydrazine,60-34-4,
613,N-Methyl-3-nitro-p-phenylenediamine and its salts不得使用於染髮用途化粧品,2973-21-9,
614,N1-(2-Hydroxyethyl)-4-nitro-o-phenylenediamine (HC Yellow No 5) and its salts不得使用於染髮用途化粧品,56932-44-6,
615,"N1-(Tris(hydroxymethyl))methyl-4-nitro-1,2-phenylenediamine (HC Yellow No 3) and its salts 不得使用於染髮用途化粧品",56932-45-7,
616,2-Nitro-N-hydroxyethyl-p-anisidine and its salts 不得使用於染髮用途化粧品,57524-53-5,
617,"N,N'-Dimethyl-N-hydroxyethyl-3-nitro-p-phenylenediamine and its salts 不得使用於染髮用途化粧品",10228-03-2,
618,"3-(N-Methyl-N-(4-methylamino-3-nitrophenyl)amino)propane-1,2-diol and its salts 不得使用於染髮用途化粧品",93633-79-5,
619,4-Ethylamino-3-nitrobenzoic acid (N-Ethyl-3-Nitro PABA) and its salts 不得使用於染髮用途化粧品,2788-74-1,
620,"(8-[(4-Amino-2-nitrophenyl)azo]-7-hydroxy-2-naphthyl)trimethylammonium and its salts, (except Basic Red 118 as impurity in Basic brown 17) 不得使用於染髮用途化粧品",71134-97-9,
621,"5-((4-(Dimethylamino)phenyl)azo)-1,4-dimethyl-1H-1,2,4-triazolium and its salts不得使用於染髮用途化粧品",12221-52-2,
622,"m-Phenylenediamine, 4-(phenylazo)-, and its salts不得使用於染髮用途化粧品",495-54-5,
156,Methyl isocyanate,624-83-9,
623,"1,3 -Benzenediamine, 4-methyl-6-(phenylazo)- and its salts不得使用於染髮用途化粧品",4438-16-8,
624,"2,7 -Naphthalenedisulfonic acid, 5-(acetylamino)-4-hydroxy-3-((2-methylphenyl)azo)- and its salts不得使用於染髮用途化粧品",6441-93-6,
625,"4,4'-[(4-Methyl-1,3-phenylene)bis(azo)]bis[6-methyl-1,3-benzenediamine] (Basic Brown 4) and its salts不得使用於染髮用途化粧品",4482-25-1,
626,"Benzenaminium, 3-[[(4-[[diamino(phenylazo)phenyl]azo]-2-methylphenyl]azo]-N,N,N-trimethyl- and its salts不得使用於染髮用途化粧品",83803-99-0,
627,"Benzenaminium, 3-[[(4-[[diamino(phenylazo)phenyl]azo]-1-naphthalenyl]azo]-N,N,N-trimethyl- and its salts 不得使用於染髮用途化粧品",83803-98-9,
628,"Ethanaminium, N-(4-[(4-(diethylamino)phenyl)phenylmethylene]-2,5-cyclohexadien-1-ylidine)-N-ethyl- and its salts 不得使用於染髮用途化粧品",633-03-4,
629,"9,10-Anthracenedione, 1-[(2-hydroxyethyl)amino]-4-(methylamino)-, and its derivatives and salts 不得使用於染髮用途化粧品",2475-46-9/86722-66-9,
